component,shape_type,triangles,volume,center_x,center_y,center_z,min_x,min_y,min_z,size_x,size_y,size_z,source_faces,classification,motion
Component_019,Compound,79333,3820.2278647197595,91.0,293.7745991924311,147.925,85.09999999999997,280.5491983848622,135.85,11.800000000000068,26.450801615137777,24.150000000000006,68,unclassified,unknown
Component_020,Compound,79333,3820.2278647197904,449.56,296.37197688765013,159.175005303947,443.65999999999997,283.1465760800812,147.100005303947,11.800000000000068,26.450801615137777,24.150000000000006,68,unclassified,unknown
Component_021,Compound,79333,3820.227864719723,399.01999488998285,228.574994410619,21.274599192431122,393.11999488998276,216.49999441061902,8.049198384862203,11.800000000000125,24.150000000000006,26.45080161513784,68,unclassified,unknown
Component_022,Compound,79333,3820.2278647197904,376.56,291.1719768876501,159.175005303947,370.65999999999997,277.94657608008123,147.100005303947,11.800000000000068,26.450801615137777,24.150000000000006,68,unclassified,unknown
Component_023,Compound,79333,3820.227864719739,431.2404213671047,296.41469359320575,46.70000000000001,419.1612860325803,283.17845194135356,40.79999999999997,24.158270669048875,26.472483303704394,11.800000000000082,68,unclassified,unknown
Component_024,Compound,79333,3820.227864719629,431.2502253531967,291.21470283534273,99.70000000000002,419.17109001867226,277.97846118349054,93.79999999999997,24.158270669048875,26.472483303704394,11.800000000000082,68,unclassified,unknown
Component_025,Compound,8124,85725.15331978147,133.06,285.0,-2.499999999999999,-24.49000000000001,242.5,-5.0000000000000036,315.1,85.0,5.000000000000009,40,unclassified,unknown
Component_026,Compound,3020,56172.12638271158,408.01999488998297,284.99999441061897,-2.4999999999999996,383.0199948899829,169.99999441061897,-5.00000000000025,50.00000000000006,230.0,5.0000000000005,20,unclassified,unknown
Component_027,Compound,106380,36433.35016826453,324.305062293364,285.0,54.10445223721841,279.10506229336397,246.3,-5.000000000000028,90.40000000000003,77.39999999999998,118.20890447443688,74,unclassified,unknown
Component_028,Compound,106972,34358.89618543436,408.0199948899817,155.71996466942375,53.7101743302432,369.319994889981,104.5999999999976,-5.000000000003663,77.40000000000146,102.23992933885225,117.42034866049373,82,unclassified,unknown
Component_029,Compound,3436,3285.5567790471687,246.995,265.87999999999994,85.20000000000002,217.995,260.37999999999994,65.2,58.0,11.0,40.000000000000014,18,unclassified,unknown
Component_030,Compound,3436,3285.5568519879153,246.995,304.08,85.20000000000002,217.995,298.58,65.2,58.0,11.0,40.000000000000014,18,unclassified,unknown
Component_031,Compound,6068,7807.484324287838,460.56,284.9973801205085,135.950001512585,455.5599999999998,263.49738012050847,121.450001512585,10.000000000000455,43.000000000000114,29.0,30,unclassified,unknown
Component_032,Compound,40153,3963.7289325425672,76.89999999999998,285.0,130.2,18.79999999999994,277.00026365996644,122.20109447908862,116.20000000000006,15.999472680067129,15.997811041822757,15,unclassified,unknown
Component_033,Compound,20324,521.0189547788655,310.55999999999995,283.9160449275861,121.42938890363348,305.1404600167198,278.4978906089626,115.85641914035737,10.839079966560291,10.836308637246987,11.145939526552198,17,unclassified,unknown
Component_034,Compound,656,10547.439872631254,162.4,285.0,124.19999999999999,127.0,277.5,110.7,70.80000000000001,15.0,26.999999999999986,9,unclassified,unknown
Component_035,Compound,35002,4831.170257488985,260.4999999999995,285.00000000000125,231.35000000000005,252.50001790129264,277.0000027897624,186.49999999999994,15.999964197413732,15.999994420477776,89.70000000000022,16,unclassified,unknown
Component_036,Compound,29900,34686.192573797205,408.0199965179123,284.99913096410705,73.19999999999999,393.49656909448197,270.4821882979852,40.69999999999983,29.04685484686064,29.033885332243642,65.00000000000031,286,unclassified,unknown
